g, group:default/gourds_0_0,role:default/gourds_0_0
g, group:default/parsnips_1_0,role:default/parsnips_1_0
g, group:default/peas_2_0,role:default/peas_2_0
g, group:default/tomatoes_3_0,role:default/tomatoes_3_0

g, group:default/pumpkins_0_1,role:default/pumpkins_0_1
g, group:default/potatoes_1_1,role:default/potatoes_1_1
g, group:default/zucchinis_2_1,role:default/zucchinis_2_1
g, group:default/leeks_4_1,role:default/leeks_4_1

g, group:default/cucumbers_0_2,role:default/cucumbers_0_2
g, group:default/parsnips_1_2,role:default/parsnips_1_2
g, group:default/pumpkins_2_2,role:default/pumpkins_2_2
g, group:default/peppers_15_2,role:default/peppers_15_2

g, group:default/tomatoes_0_3,role:default/tomatoes_0_3
g, group:default/shallots_1_3,role:default/shallots_1_3
g, group:default/shallots_2_3,role:default/shallots_2_3
g, group:default/gourds_5_3,role:default/gourds_5_3

g, group:default/cucumbers_0_4,role:default/cucumbers_0_4
g, group:default/gourds_1_4,role:default/gourds_1_4
g, group:default/tomatoes_3_4,role:default/tomatoes_3_4
g, group:default/onions_5_4,role:default/onions_5_4

g, group:default/shallots_0_5,role:default/shallots_0_5
g, group:default/peppers_1_5,role:default/peppers_1_5
g, group:default/pumpkins_9_5,role:default/pumpkins_9_5

g, group:default/peppers_0_6,role:default/peppers_0_6
g, group:default/parsnips_1_6,role:default/parsnips_1_6
g, group:default/peppers_2_6,role:default/peppers_2_6
g, group:default/peppers_5_6,role:default/peppers_5_6

g, group:default/shallots_0_7,role:default/shallots_0_7
g, group:default/gourds_1_7,role:default/gourds_1_7
g, group:default/turnips_2_7,role:default/turnips_2_7

g, group:default/potatoes_0_8,role:default/potatoes_0_8
g, group:default/zucchinis_1_8,role:default/zucchinis_1_8
g, group:default/pumpkins_2_8,role:default/pumpkins_2_8
g, group:default/zucchinis_3_8,role:default/zucchinis_3_8

g, group:default/carrots_0_9,role:default/carrots_0_9
g, group:default/onions_1_9,role:default/onions_1_9
g, group:default/gourds_2_9,role:default/gourds_2_9
g, group:default/onions_5_9,role:default/onions_5_9

g, group:default/parsnips_0_10,role:default/parsnips_0_10
g, group:default/turnips_1_10,role:default/turnips_1_10
g, group:default/potatoes_2_10,role:default/potatoes_2_10
g, group:default/parsnips_8_10,role:default/parsnips_8_10

g, group:default/peas_0_11,role:default/peas_0_11
g, group:default/parsnips_1_11,role:default/parsnips_1_11
g, group:default/onions_5_11,role:default/onions_5_11

g, group:default/pumpkins_0_12,role:default/pumpkins_0_12
